,Amitabh Bachchan,Madhuri Dixit,Gulshan Grover,Rekha,Hrithik Roshan,Kajol,Dharmendra,Sridevi,Juhi Chawla,Hema Malini,Sanjay Dutt,Kareena Kapoor,Karisma Kapoor,Preity Zinta,Jackie Shroff,Salman Khan,Twinkle Khanna,Tabu,Shakti Kapoor,Urmila Matondkar,Nana Patekar,Sonali Bendre,Fardeen Khan,Aftab Shivdasani,Tinnu Anand,Raj Babbar,Aruna Irani,Abhishek Bachchan,Mohnish Behl,Manoj Bajpayee,Bipasha Basu,Jaya Bachchan,Bhagyashree Patwardhan,Jaspal Bhatti,Rahul Bose,Mithun Chakraborty,Mahima Chaudhry,Bhoomika Chawla,Randhir Kapoor,Nandita Das,Danny Denzongpa,Bobby Deol,Esha Deol,Sunny Deol,Mukul Dev,Rahul Dev,Prabhu Deva,Ajay Devgn,Poonam Dhillon,Avtar Gill,Vikram Gokhale,Govinda,Milind Gunaji,Kamal Haasan,Vrajesh Hirjee,Randeep Hooda,Jaaved Jaaferi,Farida Jalal,Jaya Prada,Jeetendra,Sharman Joshi,Kader Khan,Dimple Kapadia,Anil Kapoor,Annu Kapoor,Rajat Kapoor,Rishi Kapoor,Supriya Karnik,Kunal Kemmu,Aamir Khan,Arbaaz Khan,Arshad Warsi,Feroz Khan,Irrfan Khan,Saif Ali Khan,Shah Rukh Khan,Sohail Khan,Akshaye Khanna,Mukesh Khanna,Vinod Khanna,Kulbhushan Kharbanda,Sachin Khedekar,Anupam Kher,Manisha Koirala,Isha Koppikar,Atul Kulkarni,Akshay Kumar,Johny Lever,Madhavan,Pawan Malhotra,Sanjay Mishra,Rani Mukerji,Govind Namdeo,Nassar,Neelam Kothari,Manoj Pahwa,Chunky Pandey,Ameesha Patel,Vinay Pathak,Prakash Raj,Amrish Puri,Om Puri,Vijay Raaz,Aishwarya Rai Bachchan,Rajinikanth,Paresh Rawal,Fatima Sana Shaikh,Raima Sen,Sushmita Sen,Naseeruddin Shah,Farooq Shaikh,Kim Sharma,Rajesh Sharma,Jimmy Shergill,Shilpa Shetty Kundra,Suniel Shetty,Saurabh Shukla,Chandrachur Singh,Neetu Singh,Raveena Tandon,Mukesh Tiwari,Ashish Vidyarthi,Gracy Singh,Tusshar Kapoor,Arjun Rampal,Aashish Chaudhary,Yashpal Sharma,Alia Bhatt,Farhan Akhtar,Rajpal Naurang Yadav,Vivek Oberoi,Lara Dutta,Dia Mirza,Riya Sen,Amrita Arora,Aarti Chhabria,Amrita Rao,Sameera Reddy,Boman Irani,Neha Dhupia,Katrina Kaif,Priyanka Chopra Jonas,Konkona Sen Sharma,Koena Mitra,Ranvir Shorey,Manoj Joshi,Rimi Sen,Samir Soni,Uday Tikekar,Sunny Leone,Riteish Deshmukh,Genelia D'Souza,Zayed Khan,John Abraham,Mallika Sherawat,Shriya Saran,Shahid Kapoor,Celina Jaitly,Sonu Sood,Imran Khan,Emraan Hashmi,Vipin Sharma,Gul Panag,Iqbal Khan,Nayanthara,Raju Srivastava,Kunal Kapoor,Nawazuddin Siddiqui,Shruti Haasan,Ranbir Kapoor,Karishma Tanna,Prabhas,Shreyas Talpade,Soha Ali Khan,Chitrangda Singh,Neil Nitin Mukesh,Ayesha Takia,Vidya Balan,Ashwini Kalsekar,Arjun Kapoor,Asin Thottumkal,Upendra Limaye,Sneha Ullal,Vatsal Sheth,Sophiya Chaudhary,Abhay Deol,Tanushree Dutta,Nimrat Kaur,Kay Kay Menon,Tamannaah Bhatia,Manjari Fadnnis,Minissha Lamba,Sonam Kapoor,Deepika Padukone,Kangana Ranaut,Govardhan Asrani,Sunny Singh,Daisy Shah,Krishna Abhishek,Ileana D'Cruz,Radhika Apte,Aditi Rao Hydari,Nushrratt Bharuccha,Kajal Aggarwal,Jacqueline Fernandez,Pankaj Tripathi,Fawad Khan,Mahie Gill,Bruna Abdullah,Prateik Babbar,Anushka Sharma,Adah Sharma,Aditya Roy Kapoor,Richa Chadha,Kalki Koechlin,Nivetha Thomas,Sidharth Malhotra,Varun Dhawan,Amy Jackson,Esha Gupta,Sudesh Lehri,Sana Khan,Shraddha Kapoor,Samantha Ruth Prabhu,Lisa Haydon,Nargis Fakhri,Kriti Kharbanda,Kainaat Arora,Zareen Khan,Tahir Raj Bhasin,Sushant Singh Rajput,Rajkummar Rao,Ranveer Singh,Sonakshi Sinha,Taapsee Pannu,Sunny Kaushal,Anil Charanjeett,Yami Gautam,Kartik Aaryan,Parineeti Chopra,Sonalee Kulkarni,Vidyut Jammwal,Mouni Roy,Saqib Saleem,Freddy Daruwala,Ayushmann Khurrana,Huma Qureshi,Pulkit Samrat,Lavanya Tripathi,Pooja Hegde,Kriti Sanon,Vikrant Massey,Rhea Chakraborty,Amyra Dastur,Vaani Kapoor,Vicky Kaushal,Urvashi Rautela,Tiger Shroff,Kapil Sharma,Bhumi Pednekar,Kiara Advani,Nora Fatehi,Shriya Pilgaonkar,Mrunal Thakur,Athiya Shetty,Sanya Malhotra,Alaya F,Disha Patani,Sobhita Dhulipala,Siddhant Chaturvedi,Mehreen Pirzada,Nidhhi Agerwal,Rashmika Mandanna,Sara Ali Khan,Janhvi Kapoor
Amitabh Bachchan,0,1,9,17,6,2,12,4,6,21,13,7,3,7,8,5,0,2,13,1,1,1,3,4,7,1,19,17,3,7,5,16,0,0,0,8,1,3,3,1,12,2,0,2,1,1,3,13,4,16,6,4,2,2,3,1,2,14,9,3,0,27,5,5,5,1,7,1,0,3,2,3,1,1,3,9,2,1,1,9,9,3,16,2,3,3,8,7,2,1,5,8,4,3,2,2,3,1,0,4,20,7,5,7,3,11,2,4,3,4,3,1,5,2,2,6,2,1,9,5,2,7,2,2,6,1,3,1,3,11,4,4,3,1,0,2,2,0,9,1,3,4,0,0,1,0,1,2,1,0,3,0,0,5,1,2,1,0,2,2,1,1,1,1,1,0,1,5,2,4,0,2,2,0,0,1,0,6,1,1,1,1,0,0,0,0,0,0,4,1,1,0,1,7,1,19,0,1,1,0,0,3,0,1,1,1,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,2,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Madhuri Dixit,1,0,8,1,0,0,4,1,1,2,11,0,1,2,13,4,0,0,13,1,4,1,0,0,4,1,12,0,2,0,0,0,0,0,0,5,1,0,1,0,4,0,0,3,1,0,0,4,2,2,1,3,1,0,0,1,2,6,2,4,1,9,2,19,3,0,3,0,2,2,0,2,1,1,1,6,0,2,1,2,3,0,23,1,0,0,2,11,0,0,3,0,3,0,1,2,3,0,1,0,11,5,1,2,1,9,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulshan Grover,9,8,0,10,1,1,15,8,18,2,32,2,11,0,38,4,1,7,85,8,1,7,2,6,16,19,40,2,15,2,1,2,4,1,1,35,5,2,0,2,20,0,2,8,4,2,0,15,5,31,8,33,4,3,4,1,7,12,9,13,1,53,14,12,5,1,15,4,3,3,4,3,1,3,5,3,0,2,14,8,23,4,35,14,3,2,17,31,2,1,4,4,6,1,14,2,18,6,1,1,31,14,4,0,3,31,0,2,3,16,0,2,0,8,7,17,5,1,0,9,6,7,2,0,1,0,4,1,0,9,2,2,3,2,1,3,1,2,2,1,2,0,0,2,1,2,0,2,2,0,0,1,2,4,2,2,2,2,0,0,4,2,0,2,0,1,2,2,1,0,0,0,1,1,0,2,4,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,2,47,0,0,0,0,1,0,0,3,0,0,0,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rekha,17,1,10,0,3,0,13,2,0,9,2,0,1,3,3,2,0,0,14,3,2,1,1,0,1,13,28,0,1,1,0,1,0,0,0,8,3,0,12,0,10,1,0,1,2,0,0,2,3,6,0,1,0,0,0,0,1,8,2,37,2,15,2,4,2,0,6,0,0,0,0,1,6,0,2,0,0,0,0,11,7,2,9,1,0,0,1,5,0,1,0,0,3,0,1,0,0,0,0,0,12,4,0,0,3,3,0,1,0,5,5,1,2,1,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hrithik Roshan,6,0,1,3,0,1,1,1,1,1,2,4,1,4,2,0,0,0,2,0,0,0,0,0,0,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,1,0,0,3,0,1,3,0,3,0,0,1,1,0,0,3,1,0,0,0,0,0,0,2,3,0,0,0,0,1,3,1,0,1,0,1,5,1,1,0,2,0,0,0,0,1,2,0,0,3,3,0,3,1,1,0,0,1,3,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,4,1,2,1,0,0,0,0,0,0,4,0,3,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Kajol,2,0,1,0,1,0,2,0,2,0,4,2,1,3,2,3,0,1,1,0,0,2,0,0,1,1,2,1,2,0,1,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,14,0,1,0,0,1,0,1,0,0,8,0,1,0,4,0,1,0,0,4,0,1,3,1,0,0,1,5,13,1,0,1,2,3,1,4,1,1,1,1,8,0,0,2,6,1,1,1,0,1,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,0,1,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dharmendra,12,4,15,13,1,2,0,6,2,40,5,0,1,1,4,3,1,0,57,0,0,0,0,0,4,21,21,0,1,0,0,6,0,0,1,14,0,0,2,0,19,10,1,19,3,1,0,1,7,10,5,9,3,1,0,0,2,6,18,14,1,27,10,3,5,0,8,1,1,1,1,0,3,2,0,0,1,0,16,11,10,1,13,1,0,0,2,18,0,0,2,1,1,0,4,1,6,0,1,1,26,4,2,0,3,9,0,0,0,4,2,0,1,0,3,0,0,0,5,1,2,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,25,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sridevi,4,1,8,2,1,0,6,0,2,1,1,0,1,0,5,2,0,0,27,1,1,0,0,2,4,1,12,1,4,0,0,0,0,1,0,4,0,1,0,0,4,0,0,6,0,0,1,0,5,4,2,1,0,24,0,0,0,2,14,17,0,27,1,13,3,0,7,0,0,0,0,1,1,0,0,2,0,1,1,4,6,0,17,0,0,0,1,5,0,0,0,0,0,0,2,0,1,0,0,1,11,0,2,1,19,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juhi Chawla,6,1,18,0,1,2,2,2,0,0,5,2,2,1,9,4,0,1,14,1,2,1,0,1,7,3,6,2,7,3,0,0,0,0,2,5,1,0,0,1,2,2,0,5,1,3,0,3,0,5,1,9,0,0,4,0,3,4,0,2,0,12,1,9,3,1,12,0,1,8,1,2,0,2,0,15,1,1,4,3,5,1,13,1,2,1,4,11,0,0,4,3,2,0,0,2,3,0,0,0,6,6,0,0,2,9,1,0,0,6,0,0,0,1,2,3,4,1,0,1,0,3,0,0,0,1,2,0,2,5,1,1,2,1,0,0,0,0,3,0,1,2,1,0,0,1,0,1,1,0,2,0,0,1,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0,0,1,1,1,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hema Malini,21,2,2,9,1,0,40,1,0,0,1,0,0,1,4,3,0,1,15,0,0,0,0,0,1,6,21,1,0,2,0,2,1,0,0,9,2,1,3,0,8,0,1,0,0,0,0,0,5,5,2,3,1,4,0,0,1,4,1,23,0,16,3,4,1,0,8,0,0,0,0,0,2,0,1,3,0,1,0,12,3,1,10,0,0,1,1,4,0,0,0,4,1,1,0,1,0,1,0,1,8,3,0,0,1,5,0,0,0,3,1,0,0,0,0,0,2,0,3,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
